 kgrid  ValNew  Policy 
     0.85  -7.53791      0.85
  0.85001  -7.53712      0.85
  0.85002  -7.53632      0.85
  0.85003  -7.53553      0.85
  0.85004  -7.53473      0.85
  0.85005  -7.53394      0.85
  0.85006  -7.53314      0.85
  0.85007  -7.53235      0.85
  0.85008  -7.53155      0.85
  0.85009  -7.53076      0.85
   0.8501  -7.52997      0.85
  0.85011  -7.52917      0.85
  0.85012  -7.52838      0.85
  0.85013  -7.52758      0.85
  0.85014  -7.52679      0.85
  0.85015    -7.526      0.85
  0.85016   -7.5252      0.85
  0.85017  -7.52441      0.85
  0.85018  -7.52362      0.85
  0.85019  -7.52282      0.85
   0.8502  -7.52203      0.85
  0.85021  -7.52124      0.85
  0.85022  -7.52044      0.85
  0.85023  -7.51965      0.85
  0.85024  -7.51886      0.85
  0.85025  -7.51807      0.85
  0.85026  -7.51727      0.85
  0.85027  -7.51648      0.85
  0.85028  -7.51569      0.85
  0.85029   -7.5149      0.85
   0.8503   -7.5141      0.85
  0.85031  -7.51331      0.85
  0.85032  -7.51252      0.85
  0.85033  -7.51173      0.85
  0.85034  -7.51094      0.85
  0.85035  -7.51014      0.85
  0.85036  -7.50935      0.85
  0.85037  -7.50856      0.85
  0.85038  -7.50777      0.85
  0.85039  -7.50698      0.85
   0.8504  -7.50619      0.85
  0.85041   -7.5054      0.85
  0.85042  -7.50461      0.85
  0.85043  -7.50382      0.85
  0.85044  -7.50302      0.85
  0.85045  -7.50223      0.85
  0.85046  -7.50144      0.85
  0.85047  -7.50065      0.85
  0.85048  -7.49986      0.85
  0.85049  -7.49907      0.85
   0.8505  -7.49828      0.85
  0.85051  -7.49749      0.85
  0.85052   -7.4967      0.85
  0.85053  -7.49591      0.85
  0.85054  -7.49512      0.85
  0.85055  -7.49433      0.85
  0.85056  -7.49354      0.85
  0.85057  -7.49276      0.85
  0.85058  -7.49197      0.85
  0.85059  -7.49118      0.85
   0.8506  -7.49039      0.85
  0.85061   -7.4896      0.85
  0.85062  -7.48881      0.85
  0.85063  -7.48802      0.85
  0.85064  -7.48723      0.85
  0.85065  -7.48644      0.85
  0.85066  -7.48566      0.85
  0.85067  -7.48487      0.85
  0.85068  -7.48408      0.85
  0.85069  -7.48329      0.85
   0.8507   -7.4825      0.85
  0.85071  -7.48172      0.85
  0.85072  -7.48093      0.85
  0.85073  -7.48014      0.85
  0.85074  -7.47935      0.85
  0.85075  -7.47857      0.85
  0.85076  -7.47778      0.85
  0.85077  -7.47699      0.85
  0.85078   -7.4762      0.85
  0.85079  -7.47542      0.85
   0.8508  -7.47463      0.85
  0.85081  -7.47384      0.85
  0.85082  -7.47306      0.85
  0.85083  -7.47227      0.85
  0.85084  -7.47148      0.85
  0.85085   -7.4707      0.85
  0.85086  -7.46991      0.85
  0.85087  -7.46912      0.85
  0.85088  -7.46834      0.85
  0.85089  -7.46755      0.85
   0.8509  -7.46677      0.85
  0.85091  -7.46598      0.85
  0.85092   -7.4652      0.85
  0.85093  -7.46441      0.85
  0.85094  -7.46362      0.85
  0.85095  -7.46284      0.85
  0.85096  -7.46205      0.85
  0.85097  -7.46127      0.85
  0.85098  -7.46048      0.85
  0.85099   -7.4597      0.85
    0.851  -7.45891      0.85
  0.85101  -7.45813      0.85
  0.85102  -7.45734      0.85
  0.85103  -7.45656      0.85
  0.85104  -7.45578      0.85
  0.85105  -7.45499      0.85
  0.85106  -7.45421      0.85
  0.85107  -7.45342      0.85
  0.85108  -7.45264      0.85
  0.85109  -7.45186      0.85
   0.8511  -7.45107      0.85
  0.85111  -7.45029      0.85
  0.85112   -7.4495      0.85
  0.85113  -7.44872      0.85
  0.85114  -7.44794      0.85
  0.85115  -7.44715      0.85
  0.85116  -7.44637      0.85
  0.85117  -7.44559      0.85
  0.85118   -7.4448      0.85
  0.85119  -7.44402      0.85
   0.8512  -7.44324      0.85
  0.85121  -7.44246      0.85
  0.85122  -7.44167      0.85
  0.85123  -7.44089      0.85
  0.85124  -7.44011      0.85
  0.85125  -7.43933      0.85
  0.85126  -7.43855      0.85
  0.85127  -7.43776      0.85
  0.85128  -7.43698      0.85
  0.85129   -7.4362      0.85
   0.8513  -7.43542      0.85
  0.85131  -7.43464      0.85
  0.85132  -7.43385      0.85
  0.85133  -7.43307      0.85
  0.85134  -7.43229      0.85
  0.85135  -7.43151      0.85
