 kgrid  ValNew  Policy 
    0.85 -22.7129     0.85
 0.85001 -22.7119     0.85
 0.85002 -22.7109     0.85
 0.85003 -22.7098     0.85
 0.85004 -22.7088     0.85
 0.85005 -22.7078     0.85
 0.85006 -22.7068     0.85
 0.85007 -22.7057     0.85
 0.85008 -22.7047     0.85
 0.85009 -22.7037     0.85
  0.8501 -22.7027     0.85
 0.85011 -22.7017     0.85
 0.85012 -22.7006     0.85
 0.85013 -22.6996     0.85
 0.85014 -22.6986     0.85
 0.85015 -22.6976     0.85
 0.85016 -22.6966     0.85
 0.85017 -22.6955     0.85
 0.85018 -22.6945     0.85
 0.85019 -22.6935     0.85
  0.8502 -22.6925     0.85
 0.85021 -22.6915     0.85
 0.85022 -22.6904     0.85
 0.85023 -22.6894     0.85
 0.85024 -22.6884     0.85
 0.85025 -22.6874     0.85
 0.85026 -22.6864     0.85
 0.85027 -22.6854     0.85
 0.85028 -22.6843     0.85
 0.85029 -22.6833     0.85
  0.8503 -22.6823     0.85
 0.85031 -22.6813     0.85
 0.85032 -22.6803     0.85
 0.85033 -22.6792     0.85
 0.85034 -22.6782     0.85
 0.85035 -22.6772     0.85
 0.85036 -22.6762     0.85
 0.85037 -22.6752     0.85
 0.85038 -22.6742     0.85
 0.85039 -22.6731     0.85
  0.8504 -22.6721     0.85
 0.85041 -22.6711     0.85
 0.85042 -22.6701     0.85
 0.85043 -22.6691     0.85
 0.85044 -22.6681     0.85
 0.85045  -22.667     0.85
 0.85046  -22.666     0.85
 0.85047  -22.665     0.85
 0.85048  -22.664     0.85
 0.85049  -22.663     0.85
  0.8505  -22.662     0.85
 0.85051  -22.661     0.85
 0.85052 -22.6599     0.85
 0.85053 -22.6589     0.85
 0.85054 -22.6579     0.85
 0.85055 -22.6569     0.85
 0.85056 -22.6559     0.85
 0.85057 -22.6549     0.85
 0.85058 -22.6539     0.85
 0.85059 -22.6528     0.85
  0.8506 -22.6518     0.85
 0.85061 -22.6508     0.85
 0.85062 -22.6498     0.85
 0.85063 -22.6488     0.85
 0.85064 -22.6478     0.85
 0.85065 -22.6468     0.85
 0.85066 -22.6458     0.85
 0.85067 -22.6447     0.85
 0.85068 -22.6437     0.85
 0.85069 -22.6427     0.85
  0.8507 -22.6417     0.85
 0.85071 -22.6407     0.85
 0.85072 -22.6397     0.85
 0.85073 -22.6387     0.85
 0.85074 -22.6377     0.85
 0.85075 -22.6366     0.85
 0.85076 -22.6356     0.85
 0.85077 -22.6346     0.85
 0.85078 -22.6336     0.85
 0.85079 -22.6326     0.85
  0.8508 -22.6316     0.85
 0.85081 -22.6306     0.85
 0.85082 -22.6296     0.85
 0.85083 -22.6286     0.85
 0.85084 -22.6275     0.85
 0.85085 -22.6265     0.85
 0.85086 -22.6255     0.85
 0.85087 -22.6245     0.85
 0.85088 -22.6235     0.85
 0.85089 -22.6225     0.85
  0.8509 -22.6215     0.85
 0.85091 -22.6205     0.85
 0.85092 -22.6195     0.85
 0.85093 -22.6185     0.85
 0.85094 -22.6175     0.85
 0.85095 -22.6164     0.85
 0.85096 -22.6154     0.85
 0.85097 -22.6144     0.85
 0.85098 -22.6134     0.85
 0.85099 -22.6124     0.85
   0.851 -22.6114     0.85
 0.85101 -22.6104     0.85
 0.85102 -22.6094     0.85
 0.85103 -22.6084     0.85
 0.85104 -22.6074     0.85
 0.85105 -22.6064     0.85
 0.85106 -22.6054     0.85
 0.85107 -22.6043     0.85
 0.85108 -22.6033     0.85
 0.85109 -22.6023     0.85
  0.8511 -22.6013     0.85
 0.85111 -22.6003     0.85
 0.85112 -22.5993     0.85
 0.85113 -22.5983     0.85
 0.85114 -22.5973     0.85
 0.85115 -22.5963     0.85
 0.85116 -22.5953     0.85
 0.85117 -22.5943     0.85
 0.85118 -22.5933     0.85
 0.85119 -22.5923     0.85
  0.8512 -22.5913     0.85
 0.85121 -22.5903     0.85
 0.85122 -22.5893     0.85
 0.85123 -22.5883     0.85
 0.85124 -22.5872     0.85
 0.85125 -22.5862     0.85
 0.85126 -22.5852     0.85
 0.85127 -22.5842     0.85
 0.85128 -22.5832     0.85
 0.85129 -22.5822     0.85
  0.8513 -22.5812     0.85
 0.85131 -22.5802     0.85
 0.85132 -22.5792     0.85
 0.85133 -22.5782     0.85
 0.85134 -22.5772     0.85
 0.85135 -22.5762     0.85
 0.85136 -22.5752     0.85
 0.85137 -22.5742     0.85
 0.85138 -22.5732     0.85
 0.85139 -22.5722     0.85
  0.8514 -22.5712     0.85
 0.85141 -22.5702     0.85
 0.85142 -22.5692     0.85
 0.85143 -22.5682     0.85
 0.85144 -22.5672     0.85
 0.85145 -22.5662     0.85
 0.85146 -22.5652     0.85
 0.85147 -22.5642     0.85
 0.85148 -22.5632     0.85
 0.85149 -22.5622     0.85
  0.8515 -22.5612     0.85
 0.85151 -22.5602     0.85
 0.85152 -22.5592     0.85
 0.85153 -22.5582     0.85
 0.85154 -22.5572     0.85
 0.85155 -22.5562     0.85
 0.85156 -22.5552     0.85
 0.85157 -22.5542     0.85
 0.85158 -22.5532     0.85
 0.85159 -22.5522     0.85
  0.8516 -22.5512     0.85
 0.85161 -22.5502     0.85
 0.85162 -22.5492     0.85
 0.85163 -22.5482     0.85
 0.85164 -22.5472     0.85
 0.85165 -22.5462     0.85
 0.85166 -22.5452     0.85
 0.85167 -22.5442     0.85
 0.85168 -22.5432     0.85
 0.85169 -22.5422     0.85
  0.8517 -22.5412     0.85
 0.85171 -22.5402     0.85
 0.85172 -22.5392     0.85
 0.85173 -22.5382     0.85
 0.85174 -22.5372     0.85
 0.85175 -22.5362     0.85
 0.85176 -22.5352     0.85
 0.85177 -22.5342     0.85
 0.85178 -22.5332     0.85
 0.85179 -22.5322     0.85
  0.8518 -22.5312     0.85
 0.85181 -22.5302     0.85
 0.85182 -22.5292     0.85
 0.85183 -22.5282     0.85
 0.85184 -22.5272     0.85
 0.85185 -22.5262     0.85
 0.85186 -22.5252     0.85
 0.85187 -22.5242     0.85
 0.85188 -22.5232     0.85
 0.85189 -22.5222     0.85
  0.8519 -22.5212     0.85
 0.85191 -22.5203     0.85
 0.85192 -22.5193     0.85
 0.85193 -22.5183     0.85
 0.85194 -22.5173     0.85
 0.85195 -22.5163     0.85
 0.85196 -22.5153     0.85
 0.85197 -22.5143     0.85
 0.85198 -22.5133     0.85
 0.85199 -22.5123     0.85
   0.852 -22.5113     0.85
 0.85201 -22.5103     0.85
 0.85202 -22.5093     0.85
 0.85203 -22.5083     0.85
 0.85204 -22.5073     0.85
 0.85205 -22.5063     0.85
 0.85206 -22.5053     0.85
 0.85207 -22.5043     0.85
 0.85208 -22.5034     0.85
 0.85209 -22.5024     0.85
  0.8521 -22.5014     0.85
 0.85211 -22.5004     0.85
 0.85212 -22.4994     0.85
 0.85213 -22.4984     0.85
 0.85214 -22.4974     0.85
 0.85215 -22.4964     0.85
 0.85216 -22.4954     0.85
 0.85217 -22.4944     0.85
 0.85218 -22.4934     0.85
 0.85219 -22.4924     0.85
  0.8522 -22.4914     0.85
 0.85221 -22.4905     0.85
 0.85222 -22.4895     0.85
 0.85223 -22.4885     0.85
 0.85224 -22.4875     0.85
 0.85225 -22.4865     0.85
 0.85226 -22.4855     0.85
 0.85227 -22.4845     0.85
 0.85228 -22.4835     0.85
 0.85229 -22.4825     0.85
  0.8523 -22.4815     0.85
 0.85231 -22.4806     0.85
 0.85232 -22.4796     0.85
 0.85233 -22.4786     0.85
 0.85234 -22.4776     0.85
 0.85235 -22.4766     0.85
 0.85236 -22.4756     0.85
 0.85237 -22.4746     0.85
 0.85238 -22.4736     0.85
 0.85239 -22.4726     0.85
  0.8524 -22.4716     0.85
 0.85241 -22.4707     0.85
 0.85242 -22.4697     0.85
 0.85243 -22.4687     0.85
 0.85244 -22.4677     0.85
 0.85245 -22.4667     0.85
 0.85246 -22.4657     0.85
 0.85247 -22.4647     0.85
 0.85248 -22.4637     0.85
 0.85249 -22.4628     0.85
  0.8525 -22.4618     0.85
 0.85251 -22.4608     0.85
 0.85252 -22.4598     0.85
 0.85253 -22.4588     0.85
 0.85254 -22.4578     0.85
 0.85255 -22.4568     0.85
 0.85256 -22.4558     0.85
 0.85257 -22.4549     0.85
 0.85258 -22.4539     0.85
 0.85259 -22.4529     0.85
  0.8526 -22.4519     0.85
 0.85261 -22.4509     0.85
 0.85262 -22.4499     0.85
 0.85263 -22.4489     0.85
 0.85264  -22.448     0.85
 0.85265  -22.447     0.85
 0.85266  -22.446     0.85
 0.85267  -22.445     0.85
 0.85268  -22.444     0.85
 0.85269  -22.443     0.85
  0.8527 -22.4421     0.85
 0.85271 -22.4411     0.85
 0.85272 -22.4401     0.85
 0.85273 -22.4391     0.85
 0.85274 -22.4381     0.85
 0.85275 -22.4371     0.85
 0.85276 -22.4361     0.85
 0.85277 -22.4352     0.85
 0.85278 -22.4342     0.85
 0.85279 -22.4332     0.85
  0.8528 -22.4322     0.85
 0.85281 -22.4312     0.85
 0.85282 -22.4302     0.85
 0.85283 -22.4293     0.85
 0.85284 -22.4283     0.85
 0.85285 -22.4273     0.85
 0.85286 -22.4263     0.85
 0.85287 -22.4253     0.85
 0.85288 -22.4244     0.85
 0.85289 -22.4234     0.85
  0.8529 -22.4224     0.85
 0.85291 -22.4214     0.85
 0.85292 -22.4204     0.85
 0.85293 -22.4194     0.85
 0.85294 -22.4185     0.85
 0.85295 -22.4175     0.85
 0.85296 -22.4165     0.85
 0.85297 -22.4155     0.85
 0.85298 -22.4145     0.85
 0.85299 -22.4136     0.85
   0.853 -22.4126     0.85
 0.85301 -22.4116     0.85
 0.85302 -22.4106     0.85
 0.85303 -22.4096     0.85
 0.85304 -22.4087     0.85
 0.85305 -22.4077     0.85
 0.85306 -22.4067     0.85
 0.85307 -22.4057     0.85
 0.85308 -22.4047     0.85
 0.85309 -22.4038     0.85
  0.8531 -22.4028     0.85
 0.85311 -22.4018     0.85
 0.85312 -22.4008     0.85
 0.85313 -22.3998     0.85
 0.85314 -22.3989     0.85
 0.85315 -22.3979     0.85
 0.85316 -22.3969     0.85
 0.85317 -22.3959     0.85
 0.85318  -22.395     0.85
 0.85319  -22.394     0.85
  0.8532  -22.393     0.85
 0.85321  -22.392     0.85
 0.85322  -22.391     0.85
 0.85323 -22.3901     0.85
 0.85324 -22.3891     0.85
 0.85325 -22.3881     0.85
 0.85326 -22.3871     0.85
 0.85327 -22.3862     0.85
 0.85328 -22.3852     0.85
 0.85329 -22.3842     0.85
  0.8533 -22.3832     0.85
 0.85331 -22.3822     0.85
 0.85332 -22.3813     0.85
 0.85333 -22.3803     0.85
 0.85334 -22.3793     0.85
 0.85335 -22.3783     0.85
 0.85336 -22.3774     0.85
