 kgrid  ValNew  Policy 
    0.85 -28.3486     0.85
 0.85001 -28.3476     0.85
 0.85002 -28.3466     0.85
 0.85003 -28.3456     0.85
 0.85004 -28.3445     0.85
 0.85005 -28.3435     0.85
 0.85006 -28.3425     0.85
 0.85007 -28.3415     0.85
 0.85008 -28.3404     0.85
 0.85009 -28.3394     0.85
  0.8501 -28.3384     0.85
 0.85011 -28.3374     0.85
 0.85012 -28.3364     0.85
 0.85013 -28.3353     0.85
 0.85014 -28.3343     0.85
 0.85015 -28.3333     0.85
 0.85016 -28.3323     0.85
 0.85017 -28.3313     0.85
 0.85018 -28.3302     0.85
 0.85019 -28.3292     0.85
  0.8502 -28.3282     0.85
 0.85021 -28.3272     0.85
 0.85022 -28.3262     0.85
 0.85023 -28.3252     0.85
 0.85024 -28.3241     0.85
 0.85025 -28.3231     0.85
 0.85026 -28.3221     0.85
 0.85027 -28.3211     0.85
 0.85028 -28.3201     0.85
 0.85029  -28.319     0.85
  0.8503  -28.318     0.85
 0.85031  -28.317     0.85
 0.85032  -28.316     0.85
 0.85033  -28.315     0.85
 0.85034  -28.314     0.85
 0.85035 -28.3129     0.85
 0.85036 -28.3119     0.85
 0.85037 -28.3109     0.85
 0.85038 -28.3099     0.85
 0.85039 -28.3089     0.85
  0.8504 -28.3079     0.85
 0.85041 -28.3068     0.85
 0.85042 -28.3058     0.85
 0.85043 -28.3048     0.85
 0.85044 -28.3038     0.85
 0.85045 -28.3028     0.85
 0.85046 -28.3018     0.85
 0.85047 -28.3007     0.85
 0.85048 -28.2997     0.85
 0.85049 -28.2987     0.85
  0.8505 -28.2977     0.85
 0.85051 -28.2967     0.85
 0.85052 -28.2957     0.85
 0.85053 -28.2947     0.85
 0.85054 -28.2936     0.85
 0.85055 -28.2926     0.85
 0.85056 -28.2916     0.85
 0.85057 -28.2906     0.85
 0.85058 -28.2896     0.85
 0.85059 -28.2886     0.85
  0.8506 -28.2876     0.85
 0.85061 -28.2865     0.85
 0.85062 -28.2855     0.85
 0.85063 -28.2845     0.85
 0.85064 -28.2835     0.85
 0.85065 -28.2825     0.85
 0.85066 -28.2815     0.85
 0.85067 -28.2805     0.85
 0.85068 -28.2795     0.85
 0.85069 -28.2784     0.85
  0.8507 -28.2774     0.85
 0.85071 -28.2764     0.85
 0.85072 -28.2754     0.85
 0.85073 -28.2744     0.85
 0.85074 -28.2734     0.85
 0.85075 -28.2724     0.85
