 kgrid  ValNew  Policy 
    0.85 -20.9588  0.85661
 0.85001  -20.958  0.85661
 0.85002 -20.9571  0.85662
 0.85003 -20.9563  0.85663
 0.85004 -20.9554  0.85663
 0.85005 -20.9545  0.85664
 0.85006 -20.9537  0.85664
 0.85007 -20.9528  0.85665
 0.85008  -20.952  0.85666
 0.85009 -20.9511  0.85666
  0.8501 -20.9502  0.85667
 0.85011 -20.9494  0.85667
 0.85012 -20.9485  0.85668
 0.85013 -20.9477  0.85669
 0.85014 -20.9468  0.85669
 0.85015  -20.946   0.8567
 0.85016 -20.9451   0.8567
 0.85017 -20.9442  0.85671
 0.85018 -20.9434  0.85672
 0.85019 -20.9425  0.85672
  0.8502 -20.9417  0.85673
 0.85021 -20.9408  0.85673
 0.85022 -20.9399  0.85674
 0.85023 -20.9391  0.85675
 0.85024 -20.9382  0.85675
 0.85025 -20.9374  0.85676
 0.85026 -20.9365  0.85676
 0.85027 -20.9357  0.85677
 0.85028 -20.9348  0.85678
 0.85029 -20.9339  0.85678
  0.8503 -20.9331  0.85679
 0.85031 -20.9322  0.85679
 0.85032 -20.9314   0.8568
 0.85033 -20.9305  0.85681
 0.85034 -20.9296  0.85681
 0.85035 -20.9288  0.85682
 0.85036 -20.9279  0.85682
 0.85037 -20.9271  0.85683
 0.85038 -20.9262  0.85684
 0.85039 -20.9254  0.85684
  0.8504 -20.9245  0.85685
 0.85041 -20.9236  0.85685
 0.85042 -20.9228  0.85686
 0.85043 -20.9219  0.85687
 0.85044 -20.9211  0.85687
 0.85045 -20.9202  0.85688
 0.85046 -20.9194  0.85688
 0.85047 -20.9185  0.85689
 0.85048 -20.9176   0.8569
 0.85049 -20.9168   0.8569
  0.8505 -20.9159  0.85691
 0.85051 -20.9151  0.85691
 0.85052 -20.9142  0.85692
 0.85053 -20.9134  0.85692
 0.85054 -20.9125  0.85693
 0.85055 -20.9116  0.85694
 0.85056 -20.9108  0.85694
 0.85057 -20.9099  0.85695
 0.85058 -20.9091  0.85696
 0.85059 -20.9082  0.85696
  0.8506 -20.9074  0.85697
 0.85061 -20.9065  0.85697
 0.85062 -20.9056  0.85698
 0.85063 -20.9048  0.85699
 0.85064 -20.9039  0.85699
 0.85065 -20.9031    0.857
 0.85066 -20.9022    0.857
 0.85067 -20.9014  0.85701
 0.85068 -20.9005  0.85701
 0.85069 -20.8996  0.85702
  0.8507 -20.8988  0.85703
 0.85071 -20.8979  0.85703
 0.85072 -20.8971  0.85704
 0.85073 -20.8962  0.85704
 0.85074 -20.8954  0.85705
 0.85075 -20.8945  0.85706
 0.85076 -20.8937  0.85706
 0.85077 -20.8928  0.85707
 0.85078 -20.8919  0.85707
 0.85079 -20.8911  0.85708
  0.8508 -20.8902  0.85709
 0.85081 -20.8894  0.85709
 0.85082 -20.8885   0.8571
 0.85083 -20.8877   0.8571
 0.85084 -20.8868  0.85711
 0.85085  -20.886  0.85712
 0.85086 -20.8851  0.85712
 0.85087 -20.8842  0.85713
 0.85088 -20.8834  0.85713
 0.85089 -20.8825  0.85714
  0.8509 -20.8817  0.85715
