 kgrid  ValNew  Policy 
     0.85  -6.20146      0.85
  0.85001  -6.20083      0.85
  0.85002  -6.20021      0.85
  0.85003  -6.19958      0.85
  0.85004  -6.19895      0.85
  0.85005  -6.19833      0.85
  0.85006   -6.1977      0.85
  0.85007  -6.19708      0.85
  0.85008  -6.19645      0.85
  0.85009  -6.19582      0.85
   0.8501   -6.1952      0.85
  0.85011  -6.19457      0.85
  0.85012  -6.19395      0.85
  0.85013  -6.19332      0.85
  0.85014   -6.1927      0.85
  0.85015  -6.19207      0.85
  0.85016  -6.19145      0.85
  0.85017  -6.19082      0.85
  0.85018  -6.19019      0.85
  0.85019  -6.18957      0.85
   0.8502  -6.18894      0.85
  0.85021  -6.18832      0.85
  0.85022  -6.18769      0.85
  0.85023  -6.18707      0.85
  0.85024  -6.18645      0.85
  0.85025  -6.18582      0.85
  0.85026   -6.1852      0.85
  0.85027  -6.18457      0.85
  0.85028  -6.18395      0.85
  0.85029  -6.18332      0.85
   0.8503   -6.1827      0.85
  0.85031  -6.18207      0.85
  0.85032  -6.18145      0.85
  0.85033  -6.18083      0.85
  0.85034   -6.1802      0.85
  0.85035  -6.17958      0.85
  0.85036  -6.17896      0.85
  0.85037  -6.17833      0.85
  0.85038  -6.17771      0.85
  0.85039  -6.17708      0.85
   0.8504  -6.17646      0.85
  0.85041  -6.17584      0.85
  0.85042  -6.17521      0.85
  0.85043  -6.17459      0.85
  0.85044  -6.17397      0.85
  0.85045  -6.17334      0.85
  0.85046  -6.17272      0.85
  0.85047   -6.1721      0.85
  0.85048  -6.17148      0.85
  0.85049  -6.17085      0.85
   0.8505  -6.17023      0.85
  0.85051  -6.16961      0.85
  0.85052  -6.16899      0.85
  0.85053  -6.16836      0.85
  0.85054  -6.16774      0.85
  0.85055  -6.16712      0.85
  0.85056   -6.1665      0.85
  0.85057  -6.16587      0.85
  0.85058  -6.16525      0.85
  0.85059  -6.16463      0.85
   0.8506  -6.16401      0.85
  0.85061  -6.16339      0.85
  0.85062  -6.16277      0.85
  0.85063  -6.16214      0.85
  0.85064  -6.16152      0.85
  0.85065   -6.1609      0.85
  0.85066  -6.16028      0.85
  0.85067  -6.15966      0.85
  0.85068  -6.15904      0.85
  0.85069  -6.15842      0.85
   0.8507  -6.15779      0.85
  0.85071  -6.15717      0.85
  0.85072  -6.15655      0.85
  0.85073  -6.15593      0.85
  0.85074  -6.15531      0.85
  0.85075  -6.15469      0.85
  0.85076  -6.15407      0.85
  0.85077  -6.15345      0.85
  0.85078  -6.15283      0.85
  0.85079  -6.15221      0.85
   0.8508  -6.15159      0.85
  0.85081  -6.15097      0.85
  0.85082  -6.15035      0.85
  0.85083  -6.14973      0.85
  0.85084  -6.14911      0.85
  0.85085  -6.14849      0.85
  0.85086  -6.14787      0.85
  0.85087  -6.14725      0.85
  0.85088  -6.14663      0.85
  0.85089  -6.14601      0.85
   0.8509  -6.14539      0.85
  0.85091  -6.14477      0.85
  0.85092  -6.14415      0.85
  0.85093  -6.14353      0.85
  0.85094  -6.14291      0.85
  0.85095  -6.14229      0.85
  0.85096  -6.14167      0.85
  0.85097  -6.14106      0.85
  0.85098  -6.14044      0.85
  0.85099  -6.13982      0.85
    0.851   -6.1392      0.85
  0.85101  -6.13858      0.85
  0.85102  -6.13796      0.85
  0.85103  -6.13734      0.85
  0.85104  -6.13673      0.85
  0.85105  -6.13611      0.85
  0.85106  -6.13549      0.85
  0.85107  -6.13487      0.85
  0.85108  -6.13425      0.85
  0.85109  -6.13363      0.85
   0.8511  -6.13302      0.85
  0.85111   -6.1324      0.85
  0.85112  -6.13178      0.85
  0.85113  -6.13116      0.85
  0.85114  -6.13055      0.85
  0.85115  -6.12993      0.85
  0.85116  -6.12931      0.85
  0.85117  -6.12869      0.85
  0.85118  -6.12808      0.85
  0.85119  -6.12746      0.85
   0.8512  -6.12684      0.85
  0.85121  -6.12623      0.85
  0.85122  -6.12561      0.85
  0.85123  -6.12499      0.85
  0.85124  -6.12437      0.85
  0.85125  -6.12376      0.85
  0.85126  -6.12314      0.85
  0.85127  -6.12252      0.85
  0.85128  -6.12191      0.85
  0.85129  -6.12129      0.85
   0.8513  -6.12068      0.85
  0.85131  -6.12006      0.85
  0.85132  -6.11944      0.85
  0.85133  -6.11883      0.85
  0.85134  -6.11821      0.85
  0.85135  -6.11759      0.85
  0.85136  -6.11698      0.85
  0.85137  -6.11636      0.85
  0.85138  -6.11575      0.85
  0.85139  -6.11513      0.85
   0.8514  -6.11452      0.85
  0.85141   -6.1139      0.85
  0.85142  -6.11329      0.85
  0.85143  -6.11267      0.85
  0.85144  -6.11205      0.85
  0.85145  -6.11144      0.85
  0.85146  -6.11082      0.85
  0.85147  -6.11021      0.85
  0.85148  -6.10959      0.85
  0.85149  -6.10898      0.85
   0.8515  -6.10836      0.85
  0.85151  -6.10775      0.85
  0.85152  -6.10714      0.85
  0.85153  -6.10652      0.85
  0.85154  -6.10591      0.85
  0.85155  -6.10529      0.85
  0.85156  -6.10468      0.85
  0.85157  -6.10406      0.85
  0.85158  -6.10345      0.85
  0.85159  -6.10284      0.85
   0.8516  -6.10222      0.85
  0.85161  -6.10161      0.85
  0.85162  -6.10099      0.85
  0.85163  -6.10038      0.85
  0.85164  -6.09977      0.85
  0.85165  -6.09915      0.85
  0.85166  -6.09854      0.85
  0.85167  -6.09793      0.85
  0.85168  -6.09731      0.85
  0.85169   -6.0967      0.85
   0.8517  -6.09609      0.85
  0.85171  -6.09547      0.85
  0.85172  -6.09486      0.85
  0.85173  -6.09425      0.85
  0.85174  -6.09363      0.85
  0.85175  -6.09302      0.85
  0.85176  -6.09241      0.85
  0.85177  -6.09179      0.85
  0.85178  -6.09118      0.85
  0.85179  -6.09057      0.85
   0.8518  -6.08996      0.85
  0.85181  -6.08934      0.85
  0.85182  -6.08873      0.85
  0.85183  -6.08812      0.85
  0.85184  -6.08751      0.85
  0.85185   -6.0869      0.85
  0.85186  -6.08628      0.85
  0.85187  -6.08567      0.85
  0.85188  -6.08506      0.85
  0.85189  -6.08445      0.85
   0.8519  -6.08384      0.85
  0.85191  -6.08323      0.85
  0.85192  -6.08261      0.85
  0.85193    -6.082      0.85
  0.85194  -6.08139      0.85
  0.85195  -6.08078      0.85
  0.85196  -6.08017      0.85
  0.85197  -6.07956      0.85
  0.85198  -6.07895      0.85
  0.85199  -6.07834      0.85
    0.852  -6.07772      0.85
  0.85201  -6.07711      0.85
  0.85202   -6.0765      0.85
  0.85203  -6.07589      0.85
  0.85204  -6.07528      0.85
  0.85205  -6.07467      0.85
  0.85206  -6.07406      0.85
  0.85207  -6.07345      0.85
  0.85208  -6.07284      0.85
  0.85209  -6.07223      0.85
   0.8521  -6.07162      0.85
  0.85211  -6.07101      0.85
  0.85212   -6.0704      0.85
  0.85213  -6.06979      0.85
  0.85214  -6.06918      0.85
  0.85215  -6.06857      0.85
  0.85216  -6.06796      0.85
  0.85217  -6.06735      0.85
  0.85218  -6.06674      0.85
  0.85219  -6.06613      0.85
   0.8522  -6.06552      0.85
  0.85221  -6.06491      0.85
  0.85222   -6.0643      0.85
  0.85223   -6.0637      0.85
  0.85224  -6.06309      0.85
  0.85225  -6.06248      0.85
  0.85226  -6.06187      0.85
  0.85227  -6.06126      0.85
  0.85228  -6.06065      0.85
  0.85229  -6.06004      0.85
   0.8523  -6.05943      0.85
  0.85231  -6.05883      0.85
  0.85232  -6.05822      0.85
  0.85233  -6.05761      0.85
  0.85234    -6.057      0.85
  0.85235  -6.05639      0.85
  0.85236  -6.05578      0.85
  0.85237  -6.05518      0.85
  0.85238  -6.05457      0.85
  0.85239  -6.05396      0.85
   0.8524  -6.05335      0.85
  0.85241  -6.05274      0.85
  0.85242  -6.05214      0.85
  0.85243  -6.05153      0.85
  0.85244  -6.05092      0.85
  0.85245  -6.05031      0.85
  0.85246  -6.04971      0.85
  0.85247   -6.0491      0.85
  0.85248  -6.04849      0.85
  0.85249  -6.04789      0.85
   0.8525  -6.04728      0.85
  0.85251  -6.04667      0.85
  0.85252  -6.04606      0.85
  0.85253  -6.04546      0.85
  0.85254  -6.04485      0.85
  0.85255  -6.04424      0.85
  0.85256  -6.04364      0.85
  0.85257  -6.04303      0.85
  0.85258  -6.04242      0.85
  0.85259  -6.04182      0.85
   0.8526  -6.04121      0.85
  0.85261  -6.04061      0.85
  0.85262     -6.04      0.85
  0.85263  -6.03939      0.85
  0.85264  -6.03879      0.85
  0.85265  -6.03818      0.85
  0.85266  -6.03758      0.85
  0.85267  -6.03697      0.85
  0.85268  -6.03636      0.85
  0.85269  -6.03576      0.85
   0.8527  -6.03515      0.85
  0.85271  -6.03455      0.85
  0.85272  -6.03394      0.85
  0.85273  -6.03334      0.85
  0.85274  -6.03273      0.85
  0.85275  -6.03213      0.85
  0.85276  -6.03152      0.85
  0.85277  -6.03092      0.85
  0.85278  -6.03031      0.85
  0.85279  -6.02971      0.85
   0.8528   -6.0291      0.85
  0.85281   -6.0285      0.85
  0.85282  -6.02789      0.85
  0.85283  -6.02729      0.85
  0.85284  -6.02668      0.85
  0.85285  -6.02608      0.85
  0.85286  -6.02548      0.85
  0.85287  -6.02487      0.85
  0.85288  -6.02427      0.85
  0.85289  -6.02366      0.85
   0.8529  -6.02306      0.85
  0.85291  -6.02246      0.85
  0.85292  -6.02185      0.85
  0.85293  -6.02125      0.85
  0.85294  -6.02064      0.85
  0.85295  -6.02004      0.85
  0.85296  -6.01944      0.85
  0.85297  -6.01883      0.85
  0.85298  -6.01823      0.85
  0.85299  -6.01763      0.85
    0.853  -6.01702      0.85
  0.85301  -6.01642      0.85
  0.85302  -6.01582      0.85
  0.85303  -6.01521      0.85
  0.85304  -6.01461      0.85
  0.85305  -6.01401      0.85
  0.85306  -6.01341      0.85
  0.85307   -6.0128      0.85
  0.85308   -6.0122      0.85
  0.85309   -6.0116      0.85
   0.8531    -6.011      0.85
  0.85311  -6.01039      0.85
