 kgrid  ValNew  Policy 
    0.85 -37.8999     0.85
 0.85001 -37.8989     0.85
 0.85002 -37.8979     0.85
 0.85003 -37.8969     0.85
 0.85004 -37.8959     0.85
 0.85005 -37.8948     0.85
 0.85006 -37.8938     0.85
 0.85007 -37.8928     0.85
 0.85008 -37.8918     0.85
 0.85009 -37.8907     0.85
  0.8501 -37.8897     0.85
 0.85011 -37.8887     0.85
 0.85012 -37.8877     0.85
 0.85013 -37.8867     0.85
 0.85014 -37.8856     0.85
 0.85015 -37.8846     0.85
 0.85016 -37.8836     0.85
 0.85017 -37.8826     0.85
 0.85018 -37.8816     0.85
 0.85019 -37.8805     0.85
  0.8502 -37.8795     0.85
 0.85021 -37.8785     0.85
 0.85022 -37.8775     0.85
 0.85023 -37.8765     0.85
 0.85024 -37.8755     0.85
 0.85025 -37.8744     0.85
 0.85026 -37.8734     0.85
 0.85027 -37.8724     0.85
 0.85028 -37.8714     0.85
 0.85029 -37.8704     0.85
  0.8503 -37.8693     0.85
 0.85031 -37.8683     0.85
 0.85032 -37.8673     0.85
 0.85033 -37.8663     0.85
 0.85034 -37.8653     0.85
 0.85035 -37.8643     0.85
 0.85036 -37.8632     0.85
 0.85037 -37.8622     0.85
 0.85038 -37.8612     0.85
 0.85039 -37.8602     0.85
  0.8504 -37.8592     0.85
 0.85041 -37.8582     0.85
 0.85042 -37.8571     0.85
 0.85043 -37.8561     0.85
 0.85044 -37.8551     0.85
 0.85045 -37.8541     0.85
 0.85046 -37.8531     0.85
 0.85047 -37.8521     0.85
 0.85048  -37.851     0.85
 0.85049   -37.85     0.85
  0.8505  -37.849     0.85
 0.85051  -37.848     0.85
 0.85052  -37.847     0.85
 0.85053  -37.846     0.85
 0.85054  -37.845     0.85
 0.85055 -37.8439     0.85
 0.85056 -37.8429     0.85
 0.85057 -37.8419     0.85
 0.85058 -37.8409     0.85
 0.85059 -37.8399     0.85
  0.8506 -37.8389     0.85
 0.85061 -37.8379     0.85
 0.85062 -37.8368     0.85
 0.85063 -37.8358     0.85
 0.85064 -37.8348     0.85
 0.85065 -37.8338     0.85
 0.85066 -37.8328     0.85
 0.85067 -37.8318     0.85
 0.85068 -37.8308     0.85
 0.85069 -37.8298     0.85
  0.8507 -37.8287     0.85
 0.85071 -37.8277     0.85
 0.85072 -37.8267     0.85
 0.85073 -37.8257     0.85
 0.85074 -37.8247     0.85
 0.85075 -37.8237     0.85
 0.85076 -37.8227     0.85
 0.85077 -37.8217     0.85
 0.85078 -37.8207     0.85
 0.85079 -37.8196     0.85
  0.8508 -37.8186     0.85
 0.85081 -37.8176     0.85
 0.85082 -37.8166     0.85
 0.85083 -37.8156     0.85
 0.85084 -37.8146     0.85
 0.85085 -37.8136     0.85
 0.85086 -37.8126     0.85
 0.85087 -37.8116     0.85
 0.85088 -37.8105     0.85
 0.85089 -37.8095     0.85
  0.8509 -37.8085     0.85
 0.85091 -37.8075     0.85
 0.85092 -37.8065     0.85
 0.85093 -37.8055     0.85
 0.85094 -37.8045     0.85
 0.85095 -37.8035     0.85
 0.85096 -37.8025     0.85
 0.85097 -37.8015     0.85
 0.85098 -37.8005     0.85
 0.85099 -37.7995     0.85
   0.851 -37.7984     0.85
 0.85101 -37.7974     0.85
 0.85102 -37.7964     0.85
 0.85103 -37.7954     0.85
 0.85104 -37.7944     0.85
 0.85105 -37.7934     0.85
 0.85106 -37.7924     0.85
 0.85107 -37.7914     0.85
 0.85108 -37.7904     0.85
 0.85109 -37.7894     0.85
  0.8511 -37.7884     0.85
 0.85111 -37.7874     0.85
 0.85112 -37.7864     0.85
 0.85113 -37.7854     0.85
 0.85114 -37.7843     0.85
 0.85115 -37.7833     0.85
 0.85116 -37.7823     0.85
 0.85117 -37.7813     0.85
 0.85118 -37.7803     0.85
 0.85119 -37.7793     0.85
  0.8512 -37.7783     0.85
 0.85121 -37.7773     0.85
 0.85122 -37.7763     0.85
 0.85123 -37.7753     0.85
 0.85124 -37.7743     0.85
 0.85125 -37.7733     0.85
 0.85126 -37.7723     0.85
 0.85127 -37.7713     0.85
 0.85128 -37.7703     0.85
 0.85129 -37.7693     0.85
  0.8513 -37.7683     0.85
 0.85131 -37.7673     0.85
 0.85132 -37.7663     0.85
 0.85133 -37.7653     0.85
 0.85134 -37.7643     0.85
 0.85135 -37.7633     0.85
 0.85136 -37.7622     0.85
 0.85137 -37.7612     0.85
 0.85138 -37.7602     0.85
 0.85139 -37.7592     0.85
  0.8514 -37.7582     0.85
 0.85141 -37.7572     0.85
 0.85142 -37.7562     0.85
 0.85143 -37.7552     0.85
 0.85144 -37.7542     0.85
 0.85145 -37.7532     0.85
 0.85146 -37.7522     0.85
 0.85147 -37.7512     0.85
 0.85148 -37.7502     0.85
 0.85149 -37.7492     0.85
  0.8515 -37.7482     0.85
 0.85151 -37.7472     0.85
 0.85152 -37.7462     0.85
 0.85153 -37.7452     0.85
 0.85154 -37.7442     0.85
 0.85155 -37.7432     0.85
 0.85156 -37.7422     0.85
 0.85157 -37.7412     0.85
 0.85158 -37.7402     0.85
 0.85159 -37.7392     0.85
  0.8516 -37.7382     0.85
 0.85161 -37.7372     0.85
 0.85162 -37.7362     0.85
 0.85163 -37.7352     0.85
 0.85164 -37.7342     0.85
 0.85165 -37.7332     0.85
 0.85166 -37.7322     0.85
 0.85167 -37.7312     0.85
 0.85168 -37.7302     0.85
 0.85169 -37.7292     0.85
  0.8517 -37.7282     0.85
 0.85171 -37.7272     0.85
 0.85172 -37.7262     0.85
 0.85173 -37.7252     0.85
 0.85174 -37.7242     0.85
 0.85175 -37.7232     0.85
 0.85176 -37.7222     0.85
 0.85177 -37.7212     0.85
 0.85178 -37.7202     0.85
 0.85179 -37.7193     0.85
  0.8518 -37.7183     0.85
 0.85181 -37.7173     0.85
 0.85182 -37.7163     0.85
 0.85183 -37.7153     0.85
 0.85184 -37.7143     0.85
 0.85185 -37.7133     0.85
 0.85186 -37.7123     0.85
 0.85187 -37.7113     0.85
 0.85188 -37.7103     0.85
 0.85189 -37.7093     0.85
  0.8519 -37.7083     0.85
 0.85191 -37.7073     0.85
 0.85192 -37.7063     0.85
 0.85193 -37.7053     0.85
 0.85194 -37.7043     0.85
 0.85195 -37.7033     0.85
 0.85196 -37.7023     0.85
 0.85197 -37.7013     0.85
 0.85198 -37.7003     0.85
 0.85199 -37.6993     0.85
   0.852 -37.6983     0.85
 0.85201 -37.6974     0.85
 0.85202 -37.6964     0.85
 0.85203 -37.6954     0.85
 0.85204 -37.6944     0.85
 0.85205 -37.6934     0.85
 0.85206 -37.6924     0.85
 0.85207 -37.6914     0.85
 0.85208 -37.6904     0.85
 0.85209 -37.6894     0.85
  0.8521 -37.6884     0.85
 0.85211 -37.6874     0.85
 0.85212 -37.6864     0.85
 0.85213 -37.6854     0.85
 0.85214 -37.6844     0.85
 0.85215 -37.6835     0.85
 0.85216 -37.6825     0.85
 0.85217 -37.6815     0.85
 0.85218 -37.6805     0.85
 0.85219 -37.6795     0.85
  0.8522 -37.6785     0.85
 0.85221 -37.6775     0.85
 0.85222 -37.6765     0.85
 0.85223 -37.6755     0.85
 0.85224 -37.6745     0.85
 0.85225 -37.6735     0.85
 0.85226 -37.6725     0.85
 0.85227 -37.6716     0.85
 0.85228 -37.6706     0.85
 0.85229 -37.6696     0.85
  0.8523 -37.6686     0.85
 0.85231 -37.6676     0.85
 0.85232 -37.6666     0.85
 0.85233 -37.6656     0.85
 0.85234 -37.6646     0.85
 0.85235 -37.6636     0.85
 0.85236 -37.6626     0.85
 0.85237 -37.6617     0.85
 0.85238 -37.6607     0.85
 0.85239 -37.6597     0.85
