 kgrid  ValNew  Policy 
     0.85  -9.25458      0.85
  0.85001  -9.25356      0.85
  0.85002  -9.25254      0.85
  0.85003  -9.25152      0.85
  0.85004  -9.25049      0.85
  0.85005  -9.24947      0.85
  0.85006  -9.24845      0.85
  0.85007  -9.24743      0.85
  0.85008  -9.24641      0.85
  0.85009  -9.24539      0.85
   0.8501  -9.24437      0.85
  0.85011  -9.24335      0.85
  0.85012  -9.24233      0.85
  0.85013  -9.24131      0.85
  0.85014  -9.24029      0.85
  0.85015  -9.23927      0.85
  0.85016  -9.23825      0.85
  0.85017  -9.23723      0.85
  0.85018  -9.23621      0.85
  0.85019  -9.23519      0.85
   0.8502  -9.23417      0.85
  0.85021  -9.23315      0.85
  0.85022  -9.23213      0.85
  0.85023  -9.23111      0.85
  0.85024  -9.23009      0.85
  0.85025  -9.22907      0.85
  0.85026  -9.22806      0.85
  0.85027  -9.22704      0.85
  0.85028  -9.22602      0.85
  0.85029    -9.225      0.85
   0.8503  -9.22398      0.85
  0.85031  -9.22297      0.85
  0.85032  -9.22195      0.85
  0.85033  -9.22093      0.85
  0.85034  -9.21991      0.85
  0.85035   -9.2189      0.85
  0.85036  -9.21788      0.85
  0.85037  -9.21686      0.85
  0.85038  -9.21585      0.85
  0.85039  -9.21483      0.85
   0.8504  -9.21381      0.85
  0.85041   -9.2128      0.85
  0.85042  -9.21178      0.85
  0.85043  -9.21076      0.85
  0.85044  -9.20975      0.85
  0.85045  -9.20873      0.85
  0.85046  -9.20772      0.85
  0.85047   -9.2067      0.85
  0.85048  -9.20569      0.85
  0.85049  -9.20467      0.85
   0.8505  -9.20366      0.85
  0.85051  -9.20264      0.85
  0.85052  -9.20163      0.85
  0.85053  -9.20061      0.85
  0.85054   -9.1996      0.85
  0.85055  -9.19858      0.85
  0.85056  -9.19757      0.85
  0.85057  -9.19656      0.85
  0.85058  -9.19554      0.85
  0.85059  -9.19453      0.85
   0.8506  -9.19351      0.85
  0.85061   -9.1925      0.85
  0.85062  -9.19149      0.85
  0.85063  -9.19047      0.85
  0.85064  -9.18946      0.85
  0.85065  -9.18845      0.85
  0.85066  -9.18744      0.85
  0.85067  -9.18642      0.85
  0.85068  -9.18541      0.85
  0.85069   -9.1844      0.85
   0.8507  -9.18339      0.85
  0.85071  -9.18237      0.85
  0.85072  -9.18136      0.85
  0.85073  -9.18035      0.85
  0.85074  -9.17934      0.85
  0.85075  -9.17833      0.85
  0.85076  -9.17732      0.85
  0.85077   -9.1763      0.85
  0.85078  -9.17529      0.85
  0.85079  -9.17428      0.85
   0.8508  -9.17327      0.85
  0.85081  -9.17226      0.85
  0.85082  -9.17125      0.85
  0.85083  -9.17024      0.85
  0.85084  -9.16923      0.85
  0.85085  -9.16822      0.85
  0.85086  -9.16721      0.85
  0.85087   -9.1662      0.85
  0.85088  -9.16519      0.85
  0.85089  -9.16418      0.85
   0.8509  -9.16317      0.85
  0.85091  -9.16216      0.85
  0.85092  -9.16115      0.85
  0.85093  -9.16014      0.85
  0.85094  -9.15914      0.85
  0.85095  -9.15813      0.85
  0.85096  -9.15712      0.85
  0.85097  -9.15611      0.85
  0.85098   -9.1551      0.85
  0.85099  -9.15409      0.85
    0.851  -9.15309      0.85
  0.85101  -9.15208      0.85
  0.85102  -9.15107      0.85
  0.85103  -9.15006      0.85
  0.85104  -9.14905      0.85
  0.85105  -9.14805      0.85
  0.85106  -9.14704      0.85
  0.85107  -9.14603      0.85
  0.85108  -9.14503      0.85
  0.85109  -9.14402      0.85
   0.8511  -9.14301      0.85
  0.85111  -9.14201      0.85
  0.85112    -9.141      0.85
  0.85113  -9.13999      0.85
  0.85114  -9.13899      0.85
  0.85115  -9.13798      0.85
  0.85116  -9.13698      0.85
  0.85117  -9.13597      0.85
  0.85118  -9.13496      0.85
  0.85119  -9.13396      0.85
   0.8512  -9.13295      0.85
  0.85121  -9.13195      0.85
  0.85122  -9.13094      0.85
  0.85123  -9.12994      0.85
  0.85124  -9.12893      0.85
  0.85125  -9.12793      0.85
  0.85126  -9.12693      0.85
  0.85127  -9.12592      0.85
  0.85128  -9.12492      0.85
  0.85129  -9.12391      0.85
   0.8513  -9.12291      0.85
  0.85131  -9.12191      0.85
  0.85132   -9.1209      0.85
  0.85133   -9.1199      0.85
  0.85134   -9.1189      0.85
  0.85135  -9.11789      0.85
  0.85136  -9.11689      0.85
  0.85137  -9.11589      0.85
  0.85138  -9.11488      0.85
  0.85139  -9.11388      0.85
   0.8514  -9.11288      0.85
  0.85141  -9.11188      0.85
  0.85142  -9.11087      0.85
  0.85143  -9.10987      0.85
  0.85144  -9.10887      0.85
  0.85145  -9.10787      0.85
  0.85146  -9.10687      0.85
  0.85147  -9.10587      0.85
  0.85148  -9.10486      0.85
  0.85149  -9.10386      0.85
   0.8515  -9.10286      0.85
  0.85151  -9.10186      0.85
  0.85152  -9.10086      0.85
  0.85153  -9.09986      0.85
  0.85154  -9.09886      0.85
  0.85155  -9.09786      0.85
  0.85156  -9.09686      0.85
  0.85157  -9.09586      0.85
  0.85158  -9.09486      0.85
  0.85159  -9.09386      0.85
   0.8516  -9.09286      0.85
  0.85161  -9.09186      0.85
  0.85162  -9.09086      0.85
  0.85163  -9.08986      0.85
  0.85164  -9.08886      0.85
  0.85165  -9.08786      0.85
  0.85166  -9.08686      0.85
  0.85167  -9.08587      0.85
  0.85168  -9.08487      0.85
  0.85169  -9.08387      0.85
   0.8517  -9.08287      0.85
  0.85171  -9.08187      0.85
  0.85172  -9.08087      0.85
  0.85173  -9.07988      0.85
  0.85174  -9.07888      0.85
  0.85175  -9.07788      0.85
  0.85176  -9.07688      0.85
  0.85177  -9.07589      0.85
  0.85178  -9.07489      0.85
  0.85179  -9.07389      0.85
   0.8518   -9.0729      0.85
  0.85181   -9.0719      0.85
  0.85182   -9.0709      0.85
  0.85183  -9.06991      0.85
  0.85184  -9.06891      0.85
  0.85185  -9.06791      0.85
  0.85186  -9.06692      0.85
  0.85187  -9.06592      0.85
  0.85188  -9.06493      0.85
  0.85189  -9.06393      0.85
   0.8519  -9.06293      0.85
  0.85191  -9.06194      0.85
  0.85192  -9.06094      0.85
  0.85193  -9.05995      0.85
  0.85194  -9.05895      0.85
  0.85195  -9.05796      0.85
  0.85196  -9.05696      0.85
  0.85197  -9.05597      0.85
  0.85198  -9.05497      0.85
  0.85199  -9.05398      0.85
    0.852  -9.05299      0.85
  0.85201  -9.05199      0.85
  0.85202    -9.051      0.85
  0.85203     -9.05      0.85
  0.85204  -9.04901      0.85
  0.85205  -9.04802      0.85
  0.85206  -9.04702      0.85
  0.85207  -9.04603      0.85
  0.85208  -9.04504      0.85
  0.85209  -9.04405      0.85
   0.8521  -9.04305      0.85
  0.85211  -9.04206      0.85
  0.85212  -9.04107      0.85
  0.85213  -9.04008      0.85
  0.85214  -9.03908      0.85
  0.85215  -9.03809      0.85
  0.85216   -9.0371      0.85
  0.85217  -9.03611      0.85
  0.85218  -9.03512      0.85
  0.85219  -9.03412      0.85
   0.8522  -9.03313      0.85
  0.85221  -9.03214      0.85
  0.85222  -9.03115      0.85
  0.85223  -9.03016      0.85
  0.85224  -9.02917      0.85
  0.85225  -9.02818      0.85
  0.85226  -9.02719      0.85
  0.85227   -9.0262      0.85
  0.85228  -9.02521      0.85
  0.85229  -9.02422      0.85
   0.8523  -9.02323      0.85
  0.85231  -9.02224      0.85
  0.85232  -9.02125      0.85
  0.85233  -9.02026      0.85
  0.85234  -9.01927      0.85
  0.85235  -9.01828      0.85
  0.85236  -9.01729      0.85
  0.85237   -9.0163      0.85
  0.85238  -9.01531      0.85
  0.85239  -9.01432      0.85
   0.8524  -9.01333      0.85
  0.85241  -9.01234      0.85
  0.85242  -9.01136      0.85
  0.85243  -9.01037      0.85
  0.85244  -9.00938      0.85
  0.85245  -9.00839      0.85
  0.85246   -9.0074      0.85
  0.85247  -9.00642      0.85
  0.85248  -9.00543      0.85
  0.85249  -9.00444      0.85
   0.8525  -9.00345      0.85
  0.85251  -9.00247      0.85
  0.85252  -9.00148      0.85
  0.85253  -9.00049      0.85
  0.85254  -8.99951      0.85
  0.85255  -8.99852      0.85
  0.85256  -8.99753      0.85
  0.85257  -8.99655      0.85
  0.85258  -8.99556      0.85
  0.85259  -8.99457      0.85
   0.8526  -8.99359      0.85
  0.85261   -8.9926      0.85
  0.85262  -8.99162      0.85
  0.85263  -8.99063      0.85
  0.85264  -8.98965      0.85
  0.85265  -8.98866      0.85
  0.85266  -8.98768      0.85
  0.85267  -8.98669      0.85
  0.85268  -8.98571      0.85
  0.85269  -8.98472      0.85
   0.8527  -8.98374      0.85
  0.85271  -8.98275      0.85
  0.85272  -8.98177      0.85
  0.85273  -8.98078      0.85
  0.85274   -8.9798      0.85
  0.85275  -8.97882      0.85
  0.85276  -8.97783      0.85
  0.85277  -8.97685      0.85
  0.85278  -8.97586      0.85
  0.85279  -8.97488      0.85
   0.8528   -8.9739      0.85
  0.85281  -8.97291      0.85
  0.85282  -8.97193      0.85
  0.85283  -8.97095      0.85
  0.85284  -8.96997      0.85
  0.85285  -8.96898      0.85
  0.85286    -8.968      0.85
  0.85287  -8.96702      0.85
  0.85288  -8.96604      0.85
  0.85289  -8.96505      0.85
   0.8529  -8.96407      0.85
  0.85291  -8.96309      0.85
  0.85292  -8.96211      0.85
  0.85293  -8.96113      0.85
  0.85294  -8.96015      0.85
  0.85295  -8.95917      0.85
  0.85296  -8.95818      0.85
  0.85297   -8.9572      0.85
  0.85298  -8.95622      0.85
  0.85299  -8.95524      0.85
    0.853  -8.95426      0.85
  0.85301  -8.95328      0.85
  0.85302   -8.9523      0.85
  0.85303  -8.95132      0.85
  0.85304  -8.95034      0.85
  0.85305  -8.94936      0.85
  0.85306  -8.94838      0.85
  0.85307   -8.9474      0.85
  0.85308  -8.94642      0.85
  0.85309  -8.94544      0.85
   0.8531  -8.94446      0.85
  0.85311  -8.94348      0.85
  0.85312  -8.94251      0.85
  0.85313  -8.94153      0.85
  0.85314  -8.94055      0.85
  0.85315  -8.93957      0.85
  0.85316  -8.93859      0.85
  0.85317  -8.93761      0.85
  0.85318  -8.93664      0.85
  0.85319  -8.93566      0.85
   0.8532  -8.93468      0.85
  0.85321   -8.9337      0.85
  0.85322  -8.93272      0.85
  0.85323  -8.93175      0.85
  0.85324  -8.93077      0.85
  0.85325  -8.92979      0.85
  0.85326  -8.92882      0.85
  0.85327  -8.92784      0.85
  0.85328  -8.92686      0.85
  0.85329  -8.92589      0.85
   0.8533  -8.92491      0.85
  0.85331  -8.92393      0.85
  0.85332  -8.92296      0.85
  0.85333  -8.92198      0.85
  0.85334    -8.921      0.85
  0.85335  -8.92003      0.85
  0.85336  -8.91905      0.85
  0.85337  -8.91808      0.85
  0.85338   -8.9171      0.85
  0.85339  -8.91613      0.85
   0.8534  -8.91515      0.85
  0.85341  -8.91418      0.85
  0.85342   -8.9132      0.85
  0.85343  -8.91223      0.85
  0.85344  -8.91125      0.85
  0.85345  -8.91028      0.85
  0.85346   -8.9093      0.85
  0.85347  -8.90833      0.85
  0.85348  -8.90736      0.85
  0.85349  -8.90638      0.85
   0.8535  -8.90541      0.85
  0.85351  -8.90443      0.85
  0.85352  -8.90346      0.85
  0.85353  -8.90249      0.85
  0.85354  -8.90151      0.85
  0.85355  -8.90054      0.85
  0.85356  -8.89957      0.85
  0.85357  -8.89859      0.85
  0.85358  -8.89762      0.85
  0.85359  -8.89665      0.85
   0.8536  -8.89568      0.85
  0.85361   -8.8947      0.85
  0.85362  -8.89373      0.85
  0.85363  -8.89276      0.85
  0.85364  -8.89179      0.85
  0.85365  -8.89082      0.85
  0.85366  -8.88984      0.85
  0.85367  -8.88887      0.85
  0.85368   -8.8879      0.85
  0.85369  -8.88693      0.85
   0.8537  -8.88596      0.85
  0.85371  -8.88499      0.85
  0.85372  -8.88402      0.85
  0.85373  -8.88305      0.85
  0.85374  -8.88208      0.85
  0.85375  -8.88111      0.85
  0.85376  -8.88014      0.85
  0.85377  -8.87917      0.85
  0.85378   -8.8782      0.85
  0.85379  -8.87723      0.85
   0.8538  -8.87626      0.85
  0.85381  -8.87529      0.85
  0.85382  -8.87432      0.85
  0.85383  -8.87335      0.85
  0.85384  -8.87238      0.85
  0.85385  -8.87141      0.85
  0.85386  -8.87044      0.85
  0.85387  -8.86947      0.85
  0.85388   -8.8685      0.85
  0.85389  -8.86753      0.85
   0.8539  -8.86657      0.85
  0.85391   -8.8656      0.85
  0.85392  -8.86463      0.85
  0.85393  -8.86366      0.85
  0.85394  -8.86269      0.85
  0.85395  -8.86173      0.85
  0.85396  -8.86076      0.85
  0.85397  -8.85979      0.85
  0.85398  -8.85882      0.85
  0.85399  -8.85786      0.85
    0.854  -8.85689      0.85
  0.85401  -8.85592      0.85
  0.85402  -8.85495      0.85
  0.85403  -8.85399      0.85
  0.85404  -8.85302      0.85
  0.85405  -8.85205      0.85
  0.85406  -8.85109      0.85
  0.85407  -8.85012      0.85
  0.85408  -8.84916      0.85
  0.85409  -8.84819      0.85
   0.8541  -8.84722      0.85
  0.85411  -8.84626      0.85
  0.85412  -8.84529      0.85
  0.85413  -8.84433      0.85
  0.85414  -8.84336      0.85
  0.85415   -8.8424      0.85
  0.85416  -8.84143      0.85
  0.85417  -8.84047      0.85
  0.85418   -8.8395      0.85
  0.85419  -8.83854      0.85
   0.8542  -8.83757      0.85
  0.85421  -8.83661      0.85
  0.85422  -8.83565      0.85
  0.85423  -8.83468      0.85
  0.85424  -8.83372      0.85
  0.85425  -8.83275      0.85
  0.85426  -8.83179      0.85
  0.85427  -8.83083      0.85
  0.85428  -8.82986      0.85
  0.85429   -8.8289      0.85
   0.8543  -8.82794      0.85
  0.85431  -8.82697      0.85
