 kgrid  ValNew  Policy 
    0.85 -45.5738     0.85
 0.85001 -45.5728     0.85
 0.85002 -45.5718     0.85
 0.85003 -45.5708     0.85
 0.85004 -45.5697     0.85
 0.85005 -45.5687     0.85
 0.85006 -45.5677     0.85
 0.85007 -45.5667     0.85
 0.85008 -45.5657     0.85
 0.85009 -45.5646     0.85
  0.8501 -45.5636     0.85
 0.85011 -45.5626     0.85
 0.85012 -45.5616     0.85
 0.85013 -45.5606     0.85
 0.85014 -45.5595     0.85
 0.85015 -45.5585     0.85
 0.85016 -45.5575     0.85
 0.85017 -45.5565     0.85
 0.85018 -45.5555     0.85
 0.85019 -45.5544     0.85
  0.8502 -45.5534     0.85
 0.85021 -45.5524     0.85
 0.85022 -45.5514     0.85
 0.85023 -45.5504     0.85
 0.85024 -45.5493     0.85
 0.85025 -45.5483     0.85
 0.85026 -45.5473     0.85
 0.85027 -45.5463     0.85
 0.85028 -45.5453     0.85
 0.85029 -45.5443     0.85
  0.8503 -45.5432     0.85
 0.85031 -45.5422     0.85
 0.85032 -45.5412     0.85
 0.85033 -45.5402     0.85
 0.85034 -45.5392     0.85
 0.85035 -45.5382     0.85
 0.85036 -45.5371     0.85
 0.85037 -45.5361     0.85
 0.85038 -45.5351     0.85
 0.85039 -45.5341     0.85
  0.8504 -45.5331     0.85
 0.85041 -45.5321     0.85
 0.85042  -45.531     0.85
 0.85043   -45.53     0.85
 0.85044  -45.529     0.85
 0.85045  -45.528     0.85
 0.85046  -45.527     0.85
 0.85047  -45.526     0.85
 0.85048 -45.5249     0.85
 0.85049 -45.5239     0.85
  0.8505 -45.5229     0.85
 0.85051 -45.5219     0.85
 0.85052 -45.5209     0.85
 0.85053 -45.5199     0.85
 0.85054 -45.5189     0.85
 0.85055 -45.5178     0.85
 0.85056 -45.5168     0.85
 0.85057 -45.5158     0.85
 0.85058 -45.5148     0.85
 0.85059 -45.5138     0.85
  0.8506 -45.5128     0.85
 0.85061 -45.5118     0.85
 0.85062 -45.5107     0.85
 0.85063 -45.5097     0.85
 0.85064 -45.5087     0.85
 0.85065 -45.5077     0.85
 0.85066 -45.5067     0.85
