 kgrid  ValNew  Policy 
    0.85 -33.3874     0.85
 0.85001 -33.3864     0.85
 0.85002 -33.3854     0.85
 0.85003 -33.3844     0.85
 0.85004 -33.3834     0.85
 0.85005 -33.3823     0.85
 0.85006 -33.3813     0.85
 0.85007 -33.3803     0.85
 0.85008 -33.3793     0.85
 0.85009 -33.3783     0.85
  0.8501 -33.3772     0.85
 0.85011 -33.3762     0.85
 0.85012 -33.3752     0.85
 0.85013 -33.3742     0.85
 0.85014 -33.3732     0.85
 0.85015 -33.3721     0.85
 0.85016 -33.3711     0.85
 0.85017 -33.3701     0.85
 0.85018 -33.3691     0.85
 0.85019 -33.3681     0.85
  0.8502  -33.367     0.85
 0.85021  -33.366     0.85
 0.85022  -33.365     0.85
 0.85023  -33.364     0.85
 0.85024  -33.363     0.85
 0.85025 -33.3619     0.85
 0.85026 -33.3609     0.85
 0.85027 -33.3599     0.85
 0.85028 -33.3589     0.85
 0.85029 -33.3579     0.85
  0.8503 -33.3568     0.85
 0.85031 -33.3558     0.85
 0.85032 -33.3548     0.85
 0.85033 -33.3538     0.85
 0.85034 -33.3528     0.85
 0.85035 -33.3518     0.85
 0.85036 -33.3507     0.85
 0.85037 -33.3497     0.85
 0.85038 -33.3487     0.85
 0.85039 -33.3477     0.85
  0.8504 -33.3467     0.85
 0.85041 -33.3457     0.85
 0.85042 -33.3446     0.85
 0.85043 -33.3436     0.85
 0.85044 -33.3426     0.85
 0.85045 -33.3416     0.85
 0.85046 -33.3406     0.85
 0.85047 -33.3396     0.85
 0.85048 -33.3386     0.85
 0.85049 -33.3375     0.85
  0.8505 -33.3365     0.85
 0.85051 -33.3355     0.85
 0.85052 -33.3345     0.85
 0.85053 -33.3335     0.85
 0.85054 -33.3325     0.85
 0.85055 -33.3314     0.85
 0.85056 -33.3304     0.85
 0.85057 -33.3294     0.85
 0.85058 -33.3284     0.85
 0.85059 -33.3274     0.85
  0.8506 -33.3264     0.85
 0.85061 -33.3254     0.85
 0.85062 -33.3244     0.85
 0.85063 -33.3233     0.85
 0.85064 -33.3223     0.85
 0.85065 -33.3213     0.85
 0.85066 -33.3203     0.85
 0.85067 -33.3193     0.85
 0.85068 -33.3183     0.85
 0.85069 -33.3173     0.85
  0.8507 -33.3163     0.85
 0.85071 -33.3152     0.85
 0.85072 -33.3142     0.85
 0.85073 -33.3132     0.85
 0.85074 -33.3122     0.85
 0.85075 -33.3112     0.85
