 kgrid  ValNew  Policy 
    0.85 -23.5654 0.884631
 0.85001 -23.5647 0.884631
 0.85002 -23.5639 0.884641
 0.85003 -23.5632 0.884651
 0.85004 -23.5625 0.884661
 0.85005 -23.5617 0.884671
 0.85006  -23.561 0.884671
 0.85007 -23.5603 0.884681
 0.85008 -23.5595 0.884691
 0.85009 -23.5588 0.884701
  0.8501 -23.5581 0.884701
 0.85011 -23.5573 0.884711
 0.85012 -23.5566 0.884721
 0.85013 -23.5559 0.884731
 0.85014 -23.5551 0.884731
 0.85015 -23.5544 0.884741
 0.85016 -23.5537 0.884751
 0.85017 -23.5529 0.884761
 0.85018 -23.5522 0.884771
 0.85019 -23.5515 0.884771
  0.8502 -23.5507 0.884781
 0.85021   -23.55 0.884791
 0.85022 -23.5493 0.884801
 0.85023 -23.5486 0.884801
 0.85024 -23.5478 0.884811
 0.85025 -23.5471 0.884821
 0.85026 -23.5464 0.884831
 0.85027 -23.5456 0.884831
 0.85028 -23.5449 0.884841
 0.85029 -23.5442 0.884851
  0.8503 -23.5434 0.884861
 0.85031 -23.5427 0.884871
 0.85032  -23.542 0.884871
 0.85033 -23.5412 0.884881
 0.85034 -23.5405 0.884891
 0.85035 -23.5398 0.884901
 0.85036  -23.539 0.884901
 0.85037 -23.5383 0.884911
 0.85038 -23.5376 0.884921
 0.85039 -23.5368 0.884931
  0.8504 -23.5361 0.884931
 0.85041 -23.5354 0.884941
 0.85042 -23.5347 0.884951
 0.85043 -23.5339 0.884961
 0.85044 -23.5332 0.884961
 0.85045 -23.5325 0.884971
 0.85046 -23.5317 0.884981
 0.85047  -23.531 0.884991
 0.85048 -23.5303 0.885001
 0.85049 -23.5295 0.885001
  0.8505 -23.5288 0.885011
 0.85051 -23.5281 0.885021
 0.85052 -23.5273 0.885031
 0.85053 -23.5266 0.885031
 0.85054 -23.5259 0.885041
 0.85055 -23.5252 0.885051
 0.85056 -23.5244 0.885061
 0.85057 -23.5237 0.885061
 0.85058  -23.523 0.885071
 0.85059 -23.5222 0.885081
  0.8506 -23.5215 0.885091
 0.85061 -23.5208 0.885101
 0.85062   -23.52 0.885101
 0.85063 -23.5193 0.885111
 0.85064 -23.5186 0.885121
 0.85065 -23.5179 0.885131
 0.85066 -23.5171 0.885131
 0.85067 -23.5164 0.885141
 0.85068 -23.5157 0.885151
 0.85069 -23.5149 0.885161
  0.8507 -23.5142 0.885161
 0.85071 -23.5135 0.885171
 0.85072 -23.5127 0.885181
 0.85073  -23.512 0.885191
 0.85074 -23.5113 0.885191
 0.85075 -23.5105 0.885201
 0.85076 -23.5098 0.885211
 0.85077 -23.5091 0.885221
 0.85078 -23.5084 0.885231
 0.85079 -23.5076 0.885231
  0.8508 -23.5069 0.885241
 0.85081 -23.5062 0.885251
 0.85082 -23.5054 0.885261
 0.85083 -23.5047 0.885261
 0.85084  -23.504 0.885271
 0.85085 -23.5032 0.885281
 0.85086 -23.5025 0.885291
 0.85087 -23.5018 0.885301
 0.85088 -23.5011 0.885301
 0.85089 -23.5003 0.885311
  0.8509 -23.4996 0.885321
 0.85091 -23.4989 0.885331
 0.85092 -23.4981 0.885331
 0.85093 -23.4974 0.885341
 0.85094 -23.4967 0.885351
 0.85095  -23.496 0.885361
 0.85096 -23.4952 0.885361
 0.85097 -23.4945 0.885371
 0.85098 -23.4938 0.885381
 0.85099  -23.493 0.885391
   0.851 -23.4923 0.885401
 0.85101 -23.4916 0.885401
 0.85102 -23.4908 0.885411
 0.85103 -23.4901 0.885421
 0.85104 -23.4894 0.885431
 0.85105 -23.4887 0.885431
 0.85106 -23.4879 0.885441
 0.85107 -23.4872 0.885451
 0.85108 -23.4865 0.885461
 0.85109 -23.4857 0.885461
  0.8511  -23.485 0.885471
 0.85111 -23.4843 0.885481
 0.85112 -23.4836 0.885491
 0.85113 -23.4828 0.885491
 0.85114 -23.4821 0.885501
 0.85115 -23.4814 0.885511
 0.85116 -23.4806 0.885521
 0.85117 -23.4799 0.885531
 0.85118 -23.4792 0.885531
 0.85119 -23.4785 0.885541
  0.8512 -23.4777 0.885551
 0.85121  -23.477 0.885561
 0.85122 -23.4763 0.885561
 0.85123 -23.4755 0.885571
 0.85124 -23.4748 0.885581
 0.85125 -23.4741 0.885591
 0.85126 -23.4734 0.885601
 0.85127 -23.4726 0.885601
 0.85128 -23.4719 0.885611
 0.85129 -23.4712 0.885621
  0.8513 -23.4704 0.885631
 0.85131 -23.4697 0.885631
 0.85132  -23.469 0.885641
 0.85133 -23.4683 0.885651
 0.85134 -23.4675 0.885661
 0.85135 -23.4668 0.885661
 0.85136 -23.4661 0.885671
 0.85137 -23.4653 0.885681
 0.85138 -23.4646 0.885691
 0.85139 -23.4639 0.885691
  0.8514 -23.4632 0.885701
 0.85141 -23.4624 0.885711
 0.85142 -23.4617 0.885721
 0.85143  -23.461 0.885731
 0.85144 -23.4603 0.885731
 0.85145 -23.4595 0.885741
 0.85146 -23.4588 0.885751
 0.85147 -23.4581 0.885761
 0.85148 -23.4573 0.885761
 0.85149 -23.4566 0.885771
  0.8515 -23.4559 0.885781
 0.85151 -23.4552 0.885791
 0.85152 -23.4544 0.885791
 0.85153 -23.4537 0.885801
 0.85154  -23.453 0.885811
 0.85155 -23.4522 0.885821
 0.85156 -23.4515 0.885831
 0.85157 -23.4508 0.885831
 0.85158 -23.4501 0.885841
 0.85159 -23.4493 0.885851
  0.8516 -23.4486 0.885861
 0.85161 -23.4479 0.885861
 0.85162 -23.4472 0.885871
 0.85163 -23.4464 0.885881
 0.85164 -23.4457 0.885891
 0.85165  -23.445 0.885891
 0.85166 -23.4442 0.885901
 0.85167 -23.4435 0.885911
 0.85168 -23.4428 0.885921
 0.85169 -23.4421 0.885931
  0.8517 -23.4413 0.885931
 0.85171 -23.4406 0.885941
 0.85172 -23.4399 0.885951
 0.85173 -23.4392 0.885961
 0.85174 -23.4384 0.885961
 0.85175 -23.4377 0.885971
 0.85176  -23.437 0.885981
 0.85177 -23.4363 0.885991
 0.85178 -23.4355 0.885991
 0.85179 -23.4348 0.886001
  0.8518 -23.4341 0.886011
 0.85181 -23.4333 0.886021
 0.85182 -23.4326 0.886031
 0.85183 -23.4319 0.886031
 0.85184 -23.4312 0.886041
 0.85185 -23.4304 0.886051
 0.85186 -23.4297 0.886061
 0.85187  -23.429 0.886061
 0.85188 -23.4283 0.886071
 0.85189 -23.4275 0.886081
  0.8519 -23.4268 0.886091
 0.85191 -23.4261 0.886091
 0.85192 -23.4254 0.886101
 0.85193 -23.4246 0.886111
 0.85194 -23.4239 0.886121
 0.85195 -23.4232 0.886131
 0.85196 -23.4224 0.886131
 0.85197 -23.4217 0.886141
 0.85198  -23.421 0.886151
 0.85199 -23.4203 0.886161
   0.852 -23.4195 0.886161
 0.85201 -23.4188 0.886171
 0.85202 -23.4181 0.886181
 0.85203 -23.4174 0.886191
 0.85204 -23.4166 0.886191
 0.85205 -23.4159 0.886201
 0.85206 -23.4152 0.886211
 0.85207 -23.4145 0.886221
 0.85208 -23.4137 0.886231
 0.85209  -23.413 0.886231
  0.8521 -23.4123 0.886241
 0.85211 -23.4116 0.886251
 0.85212 -23.4108 0.886261
 0.85213 -23.4101 0.886261
 0.85214 -23.4094 0.886271
 0.85215 -23.4087 0.886281
 0.85216 -23.4079 0.886291
 0.85217 -23.4072 0.886291
 0.85218 -23.4065 0.886301
 0.85219 -23.4058 0.886311
  0.8522  -23.405 0.886321
 0.85221 -23.4043 0.886321
 0.85222 -23.4036 0.886331
 0.85223 -23.4029 0.886341
 0.85224 -23.4021 0.886351
 0.85225 -23.4014 0.886361
 0.85226 -23.4007 0.886361
 0.85227    -23.4 0.886371
 0.85228 -23.3992 0.886381
 0.85229 -23.3985 0.886391
  0.8523 -23.3978 0.886391
 0.85231 -23.3971 0.886401
 0.85232 -23.3963 0.886411
 0.85233 -23.3956 0.886421
 0.85234 -23.3949 0.886421
 0.85235 -23.3942 0.886431
 0.85236 -23.3934 0.886441
 0.85237 -23.3927 0.886451
 0.85238  -23.392 0.886461
 0.85239 -23.3913 0.886461
  0.8524 -23.3905 0.886471
 0.85241 -23.3898 0.886481
 0.85242 -23.3891 0.886491
 0.85243 -23.3884 0.886491
 0.85244 -23.3876 0.886501
 0.85245 -23.3869 0.886511
 0.85246 -23.3862 0.886521
 0.85247 -23.3855 0.886521
 0.85248 -23.3847 0.886531
 0.85249  -23.384 0.886541
  0.8525 -23.3833 0.886551
 0.85251 -23.3826 0.886561
 0.85252 -23.3818 0.886561
 0.85253 -23.3811 0.886571
 0.85254 -23.3804 0.886581
 0.85255 -23.3797 0.886591
 0.85256 -23.3789 0.886591
 0.85257 -23.3782 0.886601
 0.85258 -23.3775 0.886611
 0.85259 -23.3768 0.886621
  0.8526  -23.376 0.886621
 0.85261 -23.3753 0.886631
 0.85262 -23.3746 0.886641
 0.85263 -23.3739 0.886651
 0.85264 -23.3731 0.886661
 0.85265 -23.3724 0.886661
 0.85266 -23.3717 0.886671
 0.85267  -23.371 0.886681
 0.85268 -23.3702 0.886691
 0.85269 -23.3695 0.886691
  0.8527 -23.3688 0.886701
 0.85271 -23.3681 0.886711
 0.85272 -23.3673 0.886721
 0.85273 -23.3666 0.886721
 0.85274 -23.3659 0.886731
 0.85275 -23.3652 0.886741
 0.85276 -23.3645 0.886751
 0.85277 -23.3637 0.886761
 0.85278  -23.363 0.886761
 0.85279 -23.3623 0.886771
  0.8528 -23.3616 0.886781
 0.85281 -23.3608 0.886791
 0.85282 -23.3601 0.886791
 0.85283 -23.3594 0.886801
 0.85284 -23.3587 0.886811
 0.85285 -23.3579 0.886821
 0.85286 -23.3572 0.886821
 0.85287 -23.3565 0.886831
 0.85288 -23.3558 0.886841
 0.85289  -23.355 0.886851
  0.8529 -23.3543 0.886861
 0.85291 -23.3536 0.886861
 0.85292 -23.3529 0.886871
 0.85293 -23.3522 0.886881
 0.85294 -23.3514 0.886891
 0.85295 -23.3507 0.886891
 0.85296   -23.35 0.886901
 0.85297 -23.3493 0.886911
 0.85298 -23.3485 0.886921
 0.85299 -23.3478 0.886921
   0.853 -23.3471 0.886931
 0.85301 -23.3464 0.886941
 0.85302 -23.3456 0.886951
 0.85303 -23.3449 0.886951
 0.85304 -23.3442 0.886961
 0.85305 -23.3435 0.886971
 0.85306 -23.3428 0.886981
 0.85307  -23.342 0.886991
 0.85308 -23.3413 0.886991
 0.85309 -23.3406 0.887001
  0.8531 -23.3399 0.887011
 0.85311 -23.3391 0.887021
 0.85312 -23.3384 0.887021
 0.85313 -23.3377 0.887031
 0.85314  -23.337 0.887041
 0.85315 -23.3363 0.887051
 0.85316 -23.3355 0.887051
 0.85317 -23.3348 0.887061
 0.85318 -23.3341 0.887071
 0.85319 -23.3334 0.887081
  0.8532 -23.3326 0.887091
 0.85321 -23.3319 0.887091
 0.85322 -23.3312 0.887101
 0.85323 -23.3305 0.887111
 0.85324 -23.3298 0.887121
 0.85325  -23.329 0.887121
 0.85326 -23.3283 0.887131
 0.85327 -23.3276 0.887141
 0.85328 -23.3269 0.887151
 0.85329 -23.3261 0.887151
  0.8533 -23.3254 0.887161
 0.85331 -23.3247 0.887171
 0.85332  -23.324 0.887181
 0.85333 -23.3233 0.887191
 0.85334 -23.3225 0.887191
 0.85335 -23.3218 0.887201
 0.85336 -23.3211 0.887211
 0.85337 -23.3204 0.887221
 0.85338 -23.3196 0.887221
 0.85339 -23.3189 0.887231
  0.8534 -23.3182 0.887241
 0.85341 -23.3175 0.887251
 0.85342 -23.3168 0.887251
 0.85343  -23.316 0.887261
 0.85344 -23.3153 0.887271
 0.85345 -23.3146 0.887281
 0.85346 -23.3139 0.887291
 0.85347 -23.3132 0.887291
 0.85348 -23.3124 0.887301
 0.85349 -23.3117 0.887311
  0.8535  -23.311 0.887321
 0.85351 -23.3103 0.887321
 0.85352 -23.3095 0.887331
 0.85353 -23.3088 0.887341
 0.85354 -23.3081 0.887351
 0.85355 -23.3074 0.887351
 0.85356 -23.3067 0.887361
 0.85357 -23.3059 0.887371
 0.85358 -23.3052 0.887381
 0.85359 -23.3045 0.887391
  0.8536 -23.3038 0.887391
 0.85361 -23.3031 0.887401
 0.85362 -23.3023 0.887411
 0.85363 -23.3016 0.887421
 0.85364 -23.3009 0.887421
 0.85365 -23.3002 0.887431
 0.85366 -23.2995 0.887441
 0.85367 -23.2987 0.887451
 0.85368  -23.298 0.887451
 0.85369 -23.2973 0.887461
  0.8537 -23.2966 0.887471
 0.85371 -23.2958 0.887481
 0.85372 -23.2951 0.887481
 0.85373 -23.2944 0.887491
 0.85374 -23.2937 0.887501
 0.85375  -23.293 0.887511
 0.85376 -23.2922 0.887521
 0.85377 -23.2915 0.887521
 0.85378 -23.2908 0.887531
