 kgrid  ValNew  Policy 
    0.85 -48.2802 0.876081
 0.85001 -48.2793 0.876091
 0.85002 -48.2785 0.876101
 0.85003 -48.2776 0.876111
 0.85004 -48.2768 0.876121
 0.85005  -48.276 0.876131
 0.85006 -48.2751 0.876131
 0.85007 -48.2743 0.876141
 0.85008 -48.2734 0.876151
 0.85009 -48.2726 0.876161
  0.8501 -48.2717 0.876171
 0.85011 -48.2709 0.876181
 0.85012   -48.27 0.876181
 0.85013 -48.2692 0.876191
 0.85014 -48.2683 0.876201
 0.85015 -48.2675 0.876211
 0.85016 -48.2667 0.876221
 0.85017 -48.2658 0.876231
 0.85018  -48.265 0.876241
 0.85019 -48.2641 0.876241
  0.8502 -48.2633 0.876251
 0.85021 -48.2624 0.876261
 0.85022 -48.2616 0.876271
 0.85023 -48.2607 0.876281
 0.85024 -48.2599 0.876291
 0.85025 -48.2591 0.876291
 0.85026 -48.2582 0.876301
 0.85027 -48.2574 0.876311
 0.85028 -48.2565 0.876321
 0.85029 -48.2557 0.876331
  0.8503 -48.2548 0.876341
 0.85031  -48.254 0.876351
 0.85032 -48.2531 0.876351
 0.85033 -48.2523 0.876361
 0.85034 -48.2514 0.876371
 0.85035 -48.2506 0.876381
 0.85036 -48.2498 0.876391
 0.85037 -48.2489 0.876401
 0.85038 -48.2481 0.876401
 0.85039 -48.2472 0.876411
  0.8504 -48.2464 0.876421
 0.85041 -48.2455 0.876431
 0.85042 -48.2447 0.876441
 0.85043 -48.2438 0.876451
 0.85044  -48.243 0.876461
 0.85045 -48.2422 0.876461
 0.85046 -48.2413 0.876471
 0.85047 -48.2405 0.876481
 0.85048 -48.2396 0.876491
 0.85049 -48.2388 0.876501
  0.8505 -48.2379 0.876501
 0.85051 -48.2371 0.876511
 0.85052 -48.2362 0.876521
 0.85053 -48.2354 0.876531
 0.85054 -48.2346 0.876541
 0.85055 -48.2337 0.876551
 0.85056 -48.2329 0.876561
 0.85057  -48.232 0.876561
 0.85058 -48.2312 0.876571
 0.85059 -48.2303 0.876581
  0.8506 -48.2295 0.876591
 0.85061 -48.2287 0.876601
 0.85062 -48.2278 0.876611
 0.85063  -48.227 0.876621
 0.85064 -48.2261 0.876621
 0.85065 -48.2253 0.876631
 0.85066 -48.2244 0.876641
 0.85067 -48.2236 0.876651
 0.85068 -48.2227 0.876661
 0.85069 -48.2219 0.876671
  0.8507 -48.2211 0.876671
 0.85071 -48.2202 0.876681
 0.85072 -48.2194 0.876691
 0.85073 -48.2185 0.876701
 0.85074 -48.2177 0.876711
 0.85075 -48.2168 0.876721
 0.85076  -48.216 0.876731
 0.85077 -48.2152 0.876731
 0.85078 -48.2143 0.876741
 0.85079 -48.2135 0.876751
  0.8508 -48.2126 0.876761
 0.85081 -48.2118 0.876771
 0.85082 -48.2109 0.876781
 0.85083 -48.2101 0.876791
 0.85084 -48.2093 0.876791
 0.85085 -48.2084 0.876801
 0.85086 -48.2076 0.876811
 0.85087 -48.2067 0.876821
 0.85088 -48.2059 0.876831
 0.85089  -48.205 0.876841
  0.8509 -48.2042 0.876841
 0.85091 -48.2033 0.876851
 0.85092 -48.2025 0.876861
 0.85093 -48.2017 0.876871
 0.85094 -48.2008 0.876881
 0.85095    -48.2 0.876891
 0.85096 -48.1991 0.876901
 0.85097 -48.1983 0.876901
 0.85098 -48.1974 0.876911
 0.85099 -48.1966 0.876921
   0.851 -48.1958 0.876931
 0.85101 -48.1949 0.876941
 0.85102 -48.1941 0.876951
 0.85103 -48.1932 0.876961
 0.85104 -48.1924 0.876961
 0.85105 -48.1915 0.876971
 0.85106 -48.1907 0.876981
 0.85107 -48.1899 0.876991
 0.85108  -48.189 0.877001
 0.85109 -48.1882 0.877011
  0.8511 -48.1873 0.877021
 0.85111 -48.1865 0.877021
 0.85112 -48.1857 0.877031
 0.85113 -48.1848 0.877041
 0.85114  -48.184 0.877051
 0.85115 -48.1831 0.877061
 0.85116 -48.1823 0.877071
 0.85117 -48.1814 0.877071
 0.85118 -48.1806 0.877081
 0.85119 -48.1798 0.877091
  0.8512 -48.1789 0.877101
 0.85121 -48.1781 0.877111
 0.85122 -48.1772 0.877121
 0.85123 -48.1764 0.877131
